sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
1A	map03083	Polycomb repressive complex	24	3	65	4.62	3	12
1A	map05031	Amphetamine addiction	24	2	46	4.35	2	12
1A	map04726	Serotonergic synapse	24	2	85	2.35	2	12
3A	map05030	Cocaine addiction	24	2	39	5.13	2	12
3A	map00975	Biosynthesis of various siderophores	24	2	41	4.88	2	12
3A	map05031	Amphetamine addiction	24	2	46	4.35	2	12
3A	map04726	Serotonergic synapse	24	2	85	2.35	2	12
5A	map00332	Carbapenem biosynthesis	24	2	21	9.52	2	12
13A	map00514	Other types of O-glycan biosynthesis	24	2	33	6.06	2	12
13A	map01521	EGFR tyrosine kinase inhibitor resistance	24	2	67	2.99	2	12
13A	map04150	mTOR signaling pathway	24	2	117	1.71	2	12
14A	map04928	"Parathyroid hormone synthesis, secretion and action"	24	3	89	3.37	3	12
42A	map04071	Sphingolipid signaling pathway	24	6	84	7.14	6	12
46A	map03450	Non-homologous end-joining	24	4	19	21.05	4	12
46A	map03013	Nucleocytoplasmic transport	24	10	98	10.2	10	12
46A	map04114	Oocyte meiosis	24	8	80	10	8	12
46A	map00830	Retinol metabolism	24	4	50	8	4	12
46A	map04111	Cell cycle - yeast	24	9	126	7.14	9	12
46A	map04530	Tight junction	24	6	106	5.66	6	12
46A	map00975	Biosynthesis of various siderophores	24	2	41	4.88	2	12
46A	map04928	"Parathyroid hormone synthesis, secretion and action"	24	3	89	3.37	3	12
47A	map03050	Proteasome	24	4	49	8.16	4	12
49A	map03015	mRNA surveillance pathway	24	5	63	7.94	5	12
49A	map04110	Cell cycle	24	6	133	4.51	6	12
1A	map01053	Biosynthesis of siderophore group nonribosomal peptides	22	3	31	9.68	3	11
3A	map03015	mRNA surveillance pathway	22	6	63	9.52	6	11
3A	map00901	Indole alkaloid biosynthesis	22	1	57	1.75	1	11
3A	map04361	Axon regeneration	22	1	59	1.69	1	11
5A	map00100	Steroid biosynthesis	22	5	34	14.71	5	11
5A	map00510	N-Glycan biosynthesis	22	5	50	10	5	11
5A	map00906	Carotenoid biosynthesis	22	6	61	9.84	6	11
5A	map03050	Proteasome	22	4	49	8.16	4	11
5A	map05205	Proteoglycans in cancer	22	2	166	1.2	2	11
13A	map04624	Toll and Imd signaling pathway	22	2	57	3.51	2	11
13A	map05323	Rheumatoid arthritis	22	2	67	2.99	2	11
13A	map04371	Apelin signaling pathway	22	1	105	0.95	1	11
14A	map04114	Oocyte meiosis	22	6	80	7.5	6	11
14A	map04934	Cushing syndrome	22	1	122	0.82	1	11
42A	map00975	Biosynthesis of various siderophores	22	2	41	4.88	2	11
42A	map04728	Dopaminergic synapse	22	3	84	3.57	3	11
42A	map04928	"Parathyroid hormone synthesis, secretion and action"	22	3	89	3.37	3	11
42A	map03083	Polycomb repressive complex	22	2	65	3.08	2	11
46A	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	22	10	35	28.57	10	11
46A	map04814	Motor proteins	22	8	113	7.08	8	11
46A	map04145	Phagosome	22	6	95	6.32	6	11
47A	map04978	Mineral absorption	22	4	36	11.11	4	11
47A	map00960	"Tropane, piperidine and pyridine alkaloid biosynthesis"	22	3	40	7.5	3	11
47A	map04928	"Parathyroid hormone synthesis, secretion and action"	22	3	89	3.37	3	11
49A	map03040	Spliceosome	22	11	135	8.15	11	11
1A	map00514	Other types of O-glycan biosynthesis	20	2	33	6.06	2	10
3A	map00311	Penicillin and cephalosporin biosynthesis	20	4	16	25	4	10
3A	map00100	Steroid biosynthesis	20	5	34	14.71	5	10
3A	map03083	Polycomb repressive complex	20	5	65	7.69	5	10
3A	map03040	Spliceosome	20	10	135	7.41	10	10
3A	map00642	Ethylbenzene degradation	20	1	16	6.25	1	10
3A	map05146	Amoebiasis	20	3	87	3.45	3	10
3A	map00542	O-Antigen repeat unit biosynthesis	20	1	35	2.86	1	10
3A	map04150	mTOR signaling pathway	20	3	117	2.56	3	10
5A	map03083	Polycomb repressive complex	20	2	65	3.08	2	10
5A	map04110	Cell cycle	20	4	133	3.01	4	10
13A	map04024	cAMP signaling pathway	20	2	172	1.16	2	10
13A	map04380	Osteoclast differentiation	20	1	104	0.96	1	10
14A	map04140	Autophagy - animal	20	7	131	5.34	7	10
14A	map04144	Endocytosis	20	9	169	5.33	9	10
42A	map00626	Naphthalene degradation	20	3	29	10.34	3	10
42A	map01053	Biosynthesis of siderophore group nonribosomal peptides	20	2	31	6.45	2	10
42A	map00120	Primary bile acid biosynthesis	20	1	18	5.56	1	10
42A	map05030	Cocaine addiction	20	2	39	5.13	2	10
42A	map05031	Amphetamine addiction	20	2	46	4.35	2	10
42A	map04137	Mitophagy - animal	20	3	84	3.57	3	10
42A	map05146	Amoebiasis	20	3	87	3.45	3	10
42A	map04726	Serotonergic synapse	20	2	85	2.35	2	10
46A	map05323	Rheumatoid arthritis	20	5	67	7.46	5	10
46A	map05030	Cocaine addiction	20	2	39	5.13	2	10
46A	map04144	Endocytosis	20	8	169	4.73	8	10
46A	map05031	Amphetamine addiction	20	2	46	4.35	2	10
46A	map04361	Axon regeneration	20	2	59	3.39	2	10
46A	map04726	Serotonergic synapse	20	2	85	2.35	2	10
47A	map01053	Biosynthesis of siderophore group nonribosomal peptides	20	2	31	6.45	2	10
47A	map00906	Carotenoid biosynthesis	20	3	61	4.92	3	10
47A	map04530	Tight junction	20	1	106	0.94	1	10
49A	map04150	mTOR signaling pathway	20	6	117	5.13	6	10
1A	map05322	Systemic lupus erythematosus	18	5	45	11.11	5	9
1A	map04613	Neutrophil extracellular trap formation	18	5	90	5.56	5	9
1A	map04110	Cell cycle	18	4	133	3.01	4	9
1A	map00404	Staurosporine biosynthesis	18	1	40	2.5	1	9
1A	map00901	Indole alkaloid biosynthesis	18	1	57	1.75	1	9
1A	map04361	Axon regeneration	18	1	59	1.69	1	9
3A	map00626	Naphthalene degradation	18	3	29	10.34	3	9
3A	map01053	Biosynthesis of siderophore group nonribosomal peptides	18	3	31	9.68	3	9
3A	map04110	Cell cycle	18	5	133	3.76	5	9
3A	map01521	EGFR tyrosine kinase inhibitor resistance	18	2	67	2.99	2	9
3A	map03082	ATP-dependent chromatin remodeling	18	1	84	1.19	1	9
5A	map04071	Sphingolipid signaling pathway	18	3	84	3.57	3	9
13A	map03258	Virion - Bacteriophage lambda	18	3	21	14.29	3	9
13A	map00901	Indole alkaloid biosynthesis	18	1	57	1.75	1	9
13A	map04361	Axon regeneration	18	1	59	1.69	1	9
14A	map00975	Biosynthesis of various siderophores	18	7	41	17.07	7	9
14A	map03013	Nucleocytoplasmic transport	18	6	98	6.12	6	9
14A	map04145	Phagosome	18	3	95	3.16	3	9
42A	map00642	Ethylbenzene degradation	18	1	16	6.25	1	9
42A	map00510	N-Glycan biosynthesis	18	2	50	4	2	9
46A	map04136	Autophagy - other	18	9	23	39.13	9	9
46A	map03460	Fanconi anemia pathway	18	5	54	9.26	5	9
46A	map00514	Other types of O-glycan biosynthesis	18	2	33	6.06	2	9
46A	map04310	Wnt signaling pathway	18	5	130	3.85	5	9
46A	map01521	EGFR tyrosine kinase inhibitor resistance	18	2	67	2.99	2	9
47A	map00572	Arabinogalactan biosynthesis - Mycobacterium	18	2	13	15.38	2	9
47A	map00975	Biosynthesis of various siderophores	18	2	41	4.88	2	9
47A	map05133	Pertussis	18	3	79	3.8	3	9
49A	map05211	Renal cell carcinoma	18	2	56	3.57	2	9
49A	map04919	Thyroid hormone signaling pathway	18	2	91	2.2	2	9
1A	map05211	Renal cell carcinoma	16	2	56	3.57	2	8
3A	map05110	Vibrio cholerae infection	16	3	49	6.12	3	8
3A	map05211	Renal cell carcinoma	16	2	56	3.57	2	8
3A	map04145	Phagosome	16	3	95	3.16	3	8
3A	map04972	Pancreatic secretion	16	2	69	2.9	2	8
3A	map00404	Staurosporine biosynthesis	16	1	40	2.5	1	8
5A	map00311	Penicillin and cephalosporin biosynthesis	16	4	16	25	4	8
5A	map05322	Systemic lupus erythematosus	16	4	45	8.89	4	8
5A	map04216	Ferroptosis	16	2	33	6.06	2	8
5A	map04145	Phagosome	16	3	95	3.16	3	8
5A	map00514	Other types of O-glycan biosynthesis	16	1	33	3.03	1	8
13A	map00365	Furfural degradation	16	6	8	75	6	8
13A	map00997	Biosynthesis of various other secondary metabolites	16	2	29	6.9	2	8
13A	map00404	Staurosporine biosynthesis	16	2	40	5	2	8
14A	map00365	Furfural degradation	16	6	8	75	6	8
14A	map05030	Cocaine addiction	16	2	39	5.13	2	8
14A	map05031	Amphetamine addiction	16	2	46	4.35	2	8
14A	map05110	Vibrio cholerae infection	16	2	49	4.08	2	8
14A	map04660	T cell receptor signaling pathway	16	3	92	3.26	3	8
14A	map04726	Serotonergic synapse	16	2	85	2.35	2	8
42A	map04150	mTOR signaling pathway	16	4	117	3.42	4	8
42A	map00514	Other types of O-glycan biosynthesis	16	1	33	3.03	1	8
46A	map04623	Cytosolic DNA-sensing pathway	16	7	68	10.29	7	8
46A	map04975	Fat digestion and absorption	16	2	28	7.14	2	8
46A	map00404	Staurosporine biosynthesis	16	1	40	2.5	1	8
46A	map03082	ATP-dependent chromatin remodeling	16	2	84	2.38	2	8
46A	map00901	Indole alkaloid biosynthesis	16	1	57	1.75	1	8
47A	map03460	Fanconi anemia pathway	16	3	54	5.56	3	8
47A	map00950	Isoquinoline alkaloid biosynthesis	16	3	63	4.76	3	8
47A	map04728	Dopaminergic synapse	16	4	84	4.76	4	8
47A	map04150	mTOR signaling pathway	16	3	117	2.56	3	8
49A	map04114	Oocyte meiosis	16	4	80	5	4	8
49A	map05323	Rheumatoid arthritis	16	3	67	4.48	3	8
49A	map04624	Toll and Imd signaling pathway	16	1	57	1.75	1	8
49A	map04934	Cushing syndrome	16	1	122	0.82	1	8
1A	map01059	Biosynthesis of enediyne antibiotics	14	3	73	4.11	3	7
1A	map00542	O-Antigen repeat unit biosynthesis	14	1	35	2.86	1	7
1A	map04624	Toll and Imd signaling pathway	14	1	57	1.75	1	7
1A	map04934	Cushing syndrome	14	1	122	0.82	1	7
3A	map03013	Nucleocytoplasmic transport	14	5	98	5.1	5	7
3A	map04928	"Parathyroid hormone synthesis, secretion and action"	14	2	89	2.25	2	7
3A	map04371	Apelin signaling pathway	14	2	105	1.9	2	7
3A	map04934	Cushing syndrome	14	1	122	0.82	1	7
5A	map01053	Biosynthesis of siderophore group nonribosomal peptides	14	3	31	9.68	3	7
5A	map05110	Vibrio cholerae infection	14	2	49	4.08	2	7
5A	map05146	Amoebiasis	14	3	87	3.45	3	7
13A	map03460	Fanconi anemia pathway	14	3	54	5.56	3	7
13A	map04114	Oocyte meiosis	14	4	80	5	4	7
13A	map05110	Vibrio cholerae infection	14	2	49	4.08	2	7
13A	map03013	Nucleocytoplasmic transport	14	3	98	3.06	3	7
13A	map04623	Cytosolic DNA-sensing pathway	14	2	68	2.94	2	7
13A	map00542	O-Antigen repeat unit biosynthesis	14	1	35	2.86	1	7
13A	map00909	Sesquiterpenoid and triterpenoid biosynthesis	14	2	75	2.67	2	7
13A	map04145	Phagosome	14	2	95	2.11	2	7
13A	map04014	Ras signaling pathway	14	2	182	1.1	2	7
14A	map04666	Fc gamma R-mediated phagocytosis	14	6	64	9.38	6	7
14A	map05100	Bacterial invasion of epithelial cells	14	6	76	7.89	6	7
14A	map03460	Fanconi anemia pathway	14	3	54	5.56	3	7
14A	map05135	Yersinia infection	14	6	122	4.92	6	7
14A	map04623	Cytosolic DNA-sensing pathway	14	3	68	4.41	3	7
14A	map04261	Adrenergic signaling in cardiomyocytes	14	2	99	2.02	2	7
14A	map00909	Sesquiterpenoid and triterpenoid biosynthesis	14	1	75	1.33	1	7
42A	map00404	Staurosporine biosynthesis	14	2	40	5	2	7
42A	map05211	Renal cell carcinoma	14	2	56	3.57	2	7
42A	map00901	Indole alkaloid biosynthesis	14	1	57	1.75	1	7
42A	map04361	Axon regeneration	14	1	59	1.69	1	7
42A	map04110	Cell cycle	14	2	133	1.5	2	7
42A	map04024	cAMP signaling pathway	14	2	172	1.16	2	7
46A	map04130	SNARE interactions in vesicular transport	14	7	35	20	7	7
46A	map00626	Naphthalene degradation	14	3	29	10.34	3	7
46A	map01053	Biosynthesis of siderophore group nonribosomal peptides	14	2	31	6.45	2	7
46A	map03250	Viral life cycle - HIV-1	14	3	61	4.92	3	7
46A	map04350	TGF-beta signaling pathway	14	4	98	4.08	4	7
46A	map05211	Renal cell carcinoma	14	1	56	1.79	1	7
46A	map04934	Cushing syndrome	14	1	122	0.82	1	7
47A	map00311	Penicillin and cephalosporin biosynthesis	14	2	16	12.5	2	7
47A	map03083	Polycomb repressive complex	14	3	65	4.62	3	7
47A	map03250	Viral life cycle - HIV-1	14	2	61	3.28	2	7
47A	map01521	EGFR tyrosine kinase inhibitor resistance	14	2	67	2.99	2	7
49A	map05110	Vibrio cholerae infection	14	4	49	8.16	4	7
49A	map03083	Polycomb repressive complex	14	5	65	7.69	5	7
49A	map03250	Viral life cycle - HIV-1	14	3	61	4.92	3	7
49A	map04140	Autophagy - animal	14	5	131	3.82	5	7
49A	map04310	Wnt signaling pathway	14	4	130	3.08	4	7
49A	map04660	T cell receptor signaling pathway	14	2	92	2.17	2	7
49A	map04261	Adrenergic signaling in cardiomyocytes	14	2	99	2.02	2	7
1A	map04972	Pancreatic secretion	12	2	69	2.9	2	6
1A	map04114	Oocyte meiosis	12	2	80	2.5	2	6
1A	map04919	Thyroid hormone signaling pathway	12	2	91	2.2	2	6
3A	map00571	Lipoarabinomannan (LAM) biosynthesis	12	5	14	35.71	5	6
3A	map00514	Other types of O-glycan biosynthesis	12	1	33	3.03	1	6
5A	map00572	Arabinogalactan biosynthesis - Mycobacterium	12	2	13	15.38	2	6
5A	map00975	Biosynthesis of various siderophores	12	2	41	4.88	2	6
5A	map00950	Isoquinoline alkaloid biosynthesis	12	3	63	4.76	3	6
5A	map05034	Alcoholism	12	3	86	3.49	3	6
5A	map04613	Neutrophil extracellular trap formation	12	3	90	3.33	3	6
5A	map05133	Pertussis	12	2	79	2.53	2	6
5A	map04928	"Parathyroid hormone synthesis, secretion and action"	12	2	89	2.25	2	6
5A	map04530	Tight junction	12	2	106	1.89	2	6
13A	map00062	Fatty acid elongation	12	3	25	12	3	6
13A	map04120	Ubiquitin mediated proteolysis	12	4	132	3.03	4	6
14A	map04111	Cell cycle - yeast	12	6	126	4.76	6	6
14A	map05323	Rheumatoid arthritis	12	2	67	2.99	2	6
14A	map00404	Staurosporine biosynthesis	12	1	40	2.5	1	6
14A	map04624	Toll and Imd signaling pathway	12	1	57	1.75	1	6
42A	map05323	Rheumatoid arthritis	12	3	67	4.48	3	6
42A	map04975	Fat digestion and absorption	12	1	28	3.57	1	6
42A	map04145	Phagosome	12	3	95	3.16	3	6
42A	map01521	EGFR tyrosine kinase inhibitor resistance	12	2	67	2.99	2	6
42A	map04934	Cushing syndrome	12	1	122	0.82	1	6
46A	map00571	Lipoarabinomannan (LAM) biosynthesis	12	5	14	35.71	5	6
46A	map04710	Circadian rhythm	12	3	28	10.71	3	6
46A	map00642	Ethylbenzene degradation	12	1	16	6.25	1	6
46A	map04371	Apelin signaling pathway	12	4	105	3.81	4	6
46A	map00542	O-Antigen repeat unit biosynthesis	12	1	35	2.86	1	6
46A	map04218	Cellular senescence	12	3	117	2.56	3	6
47A	map00120	Primary bile acid biosynthesis	12	1	18	5.56	1	6
47A	map04145	Phagosome	12	3	95	3.16	3	6
47A	map04660	T cell receptor signaling pathway	12	2	92	2.17	2	6
47A	map04261	Adrenergic signaling in cardiomyocytes	12	2	99	2.02	2	6
49A	map01521	EGFR tyrosine kinase inhibitor resistance	12	2	67	2.99	2	6
49A	map04380	Osteoclast differentiation	12	1	104	0.96	1	6
1A	map04150	mTOR signaling pathway	10	3	117	2.56	3	5
1A	map04928	"Parathyroid hormone synthesis, secretion and action"	10	1	89	1.12	1	5
3A	map03460	Fanconi anemia pathway	10	4	54	7.41	4	5
3A	map04114	Oocyte meiosis	10	3	80	3.75	3	5
3A	map04270	Vascular smooth muscle contraction	10	1	96	1.04	1	5
3A	map04014	Ras signaling pathway	10	1	182	0.55	1	5
5A	map00791	Atrazine degradation	10	2	20	10	2	5
5A	map00830	Retinol metabolism	10	3	50	6	3	5
5A	map00120	Primary bile acid biosynthesis	10	1	18	5.56	1	5
5A	map03015	mRNA surveillance pathway	10	3	63	4.76	3	5
5A	map04114	Oocyte meiosis	10	3	80	3.75	3	5
5A	map03040	Spliceosome	10	5	135	3.7	5	5
5A	map03250	Viral life cycle - HIV-1	10	2	61	3.28	2	5
5A	map01059	Biosynthesis of enediyne antibiotics	10	2	73	2.74	2	5
5A	map04919	Thyroid hormone signaling pathway	10	2	91	2.2	2	5
13A	map00121	Secondary bile acid biosynthesis	10	2	15	13.33	2	5
13A	map00100	Steroid biosynthesis	10	3	34	8.82	3	5
13A	map04666	Fc gamma R-mediated phagocytosis	10	3	64	4.69	3	5
13A	map03040	Spliceosome	10	5	135	3.7	5	5
13A	map05140	Leishmaniasis	10	2	59	3.39	2	5
13A	map04972	Pancreatic secretion	10	2	69	2.9	2	5
13A	map03272	Virion - Hepatitis viruses	10	1	40	2.5	1	5
13A	map04111	Cell cycle - yeast	10	3	126	2.38	3	5
13A	map04974	Protein digestion and absorption	10	1	66	1.52	1	5
13A	map04140	Autophagy - animal	10	1	131	0.76	1	5
14A	map00121	Secondary bile acid biosynthesis	10	3	15	20	3	5
14A	map03272	Virion - Hepatitis viruses	10	3	40	7.5	3	5
14A	map03258	Virion - Bacteriophage lambda	10	1	21	4.76	1	5
14A	map05150	Staphylococcus aureus infection	10	3	74	4.05	3	5
14A	map04740	Olfactory transduction	10	1	25	4	1	5
14A	map04517	IgSF CAM signaling	10	5	223	2.24	5	5
14A	map04014	Ras signaling pathway	10	4	182	2.2	4	5
14A	map04380	Osteoclast differentiation	10	2	104	1.92	2	5
14A	map00901	Indole alkaloid biosynthesis	10	1	57	1.75	1	5
14A	map04024	cAMP signaling pathway	10	3	172	1.74	3	5
14A	map04361	Axon regeneration	10	1	59	1.69	1	5
14A	map03082	ATP-dependent chromatin remodeling	10	1	84	1.19	1	5
42A	map05110	Vibrio cholerae infection	10	2	49	4.08	2	5
42A	map04120	Ubiquitin mediated proteolysis	10	3	132	2.27	3	5
42A	map04530	Tight junction	10	2	106	1.89	2	5
42A	map04310	Wnt signaling pathway	10	2	130	1.54	2	5
46A	map00311	Penicillin and cephalosporin biosynthesis	10	3	16	18.75	3	5
46A	map04139	Mitophagy - yeast	10	4	34	11.76	4	5
46A	map04721	Synaptic vesicle cycle	10	4	55	7.27	4	5
46A	map04660	T cell receptor signaling pathway	10	4	92	4.35	4	5
46A	map01059	Biosynthesis of enediyne antibiotics	10	3	73	4.11	3	5
46A	map04261	Adrenergic signaling in cardiomyocytes	10	4	99	4.04	4	5
46A	map04380	Osteoclast differentiation	10	1	104	0.96	1	5
47A	map05146	Amoebiasis	10	3	87	3.45	3	5
47A	map04137	Mitophagy - animal	10	2	84	2.38	2	5
47A	map04371	Apelin signaling pathway	10	1	105	0.95	1	5
49A	map00997	Biosynthesis of various other secondary metabolites	10	2	29	6.9	2	5
49A	map04145	Phagosome	10	3	95	3.16	3	5
49A	map03013	Nucleocytoplasmic transport	10	3	98	3.06	3	5
49A	map04530	Tight junction	10	3	106	2.83	3	5
49A	map04111	Cell cycle - yeast	10	3	126	2.38	3	5
49A	map03240	Viral replication	10	3	130	2.31	3	5
49A	map04120	Ubiquitin mediated proteolysis	10	3	132	2.27	3	5
49A	map04371	Apelin signaling pathway	10	2	105	1.9	2	5
49A	map04144	Endocytosis	10	3	169	1.78	3	5
1A	map03460	Fanconi anemia pathway	8	4	54	7.41	4	4
1A	map04973	Carbohydrate digestion and absorption	8	1	22	4.55	1	4
1A	map00997	Biosynthesis of various other secondary metabolites	8	1	29	3.45	1	4
1A	map03015	mRNA surveillance pathway	8	2	63	3.17	2	4
1A	map01521	EGFR tyrosine kinase inhibitor resistance	8	2	67	2.99	2	4
1A	map03040	Spliceosome	8	3	135	2.22	3	4
1A	map04923	Regulation of lipolysis in adipocytes	8	1	47	2.13	1	4
1A	map04350	TGF-beta signaling pathway	8	2	98	2.04	2	4
1A	map04111	Cell cycle - yeast	8	2	126	1.59	2	4
1A	map04970	Salivary secretion	8	1	64	1.56	1	4
1A	map04310	Wnt signaling pathway	8	2	130	1.54	2	4
1A	map04120	Ubiquitin mediated proteolysis	8	2	132	1.52	2	4
3A	map00121	Secondary bile acid biosynthesis	8	2	15	13.33	2	4
3A	map00062	Fatty acid elongation	8	2	25	8	2	4
3A	map01059	Biosynthesis of enediyne antibiotics	8	3	73	4.11	3	4
3A	map04120	Ubiquitin mediated proteolysis	8	4	132	3.03	4	4
3A	map04660	T cell receptor signaling pathway	8	2	92	2.17	2	4
3A	map04261	Adrenergic signaling in cardiomyocytes	8	2	99	2.02	2	4
3A	map04530	Tight junction	8	2	106	1.89	2	4
5A	map04975	Fat digestion and absorption	8	2	28	7.14	2	4
5A	map00626	Naphthalene degradation	8	2	29	6.9	2	4
5A	map04728	Dopaminergic synapse	8	3	84	3.57	3	4
5A	map00909	Sesquiterpenoid and triterpenoid biosynthesis	8	2	75	2.67	2	4
5A	map04111	Cell cycle - yeast	8	3	126	2.38	3	4
5A	map04120	Ubiquitin mediated proteolysis	8	3	132	2.27	3	4
5A	map03082	ATP-dependent chromatin remodeling	8	1	84	1.19	1	4
13A	map04072	Phospholipase D signaling pathway	8	2	108	1.85	2	4
13A	map03082	ATP-dependent chromatin remodeling	8	1	84	1.19	1	4
13A	map04144	Endocytosis	8	2	169	1.18	2	4
13A	map04270	Vascular smooth muscle contraction	8	1	96	1.04	1	4
14A	map04341	Hedgehog signaling pathway - fly	8	4	26	15.38	4	4
14A	map04136	Autophagy - other	8	3	23	13.04	3	4
14A	map00100	Steroid biosynthesis	8	3	34	8.82	3	4
14A	map00997	Biosynthesis of various other secondary metabolites	8	2	29	6.9	2	4
14A	map00981	Insect hormone biosynthesis	8	1	18	5.56	1	4
14A	map05140	Leishmaniasis	8	2	59	3.39	2	4
14A	map04120	Ubiquitin mediated proteolysis	8	4	132	3.03	4	4
14A	map00542	O-Antigen repeat unit biosynthesis	8	1	35	2.86	1	4
14A	map04072	Phospholipase D signaling pathway	8	3	108	2.78	3	4
14A	map04810	Regulation of actin cytoskeleton	8	4	173	2.31	4	4
14A	map05202	Transcriptional misregulation in cancer	8	2	161	1.24	2	4
42A	map00062	Fatty acid elongation	8	2	25	8	2	4
42A	map01059	Biosynthesis of enediyne antibiotics	8	3	73	4.11	3	4
42A	map04111	Cell cycle - yeast	8	2	126	1.59	2	4
42A	map03082	ATP-dependent chromatin remodeling	8	1	84	1.19	1	4
42A	map04919	Thyroid hormone signaling pathway	8	1	91	1.1	1	4
42A	map04380	Osteoclast differentiation	8	1	104	0.96	1	4
42A	map04371	Apelin signaling pathway	8	1	105	0.95	1	4
46A	map00062	Fatty acid elongation	8	3	25	12	3	4
46A	map04962	Vasopressin-regulated water reabsorption	8	3	33	9.09	3	4
46A	map04977	Vitamin digestion and absorption	8	2	25	8	2	4
46A	map04341	Hedgehog signaling pathway - fly	8	1	26	3.85	1	4
46A	map04624	Toll and Imd signaling pathway	8	2	57	3.51	2	4
46A	map04064	NF-kappa B signaling pathway	8	3	98	3.06	3	4
46A	map05202	Transcriptional misregulation in cancer	8	2	161	1.24	2	4
46A	map04919	Thyroid hormone signaling pathway	8	1	91	1.1	1	4
46A	map04517	IgSF CAM signaling	8	2	223	0.9	2	4
47A	map04975	Fat digestion and absorption	8	2	28	7.14	2	4
47A	map00514	Other types of O-glycan biosynthesis	8	2	33	6.06	2	4
47A	map04114	Oocyte meiosis	8	2	80	2.5	2	4
47A	map05110	Vibrio cholerae infection	8	1	49	2.04	1	4
47A	map05202	Transcriptional misregulation in cancer	8	2	161	1.24	2	4
47A	map05120	Epithelial cell signaling in Helicobacter pylori infection	8	1	91	1.1	1	4
49A	map04710	Circadian rhythm	8	2	28	7.14	2	4
49A	map03460	Fanconi anemia pathway	8	2	54	3.7	2	4
49A	map00404	Staurosporine biosynthesis	8	1	40	2.5	1	4
49A	map04350	TGF-beta signaling pathway	8	2	98	2.04	2	4
49A	map04814	Motor proteins	8	2	113	1.77	2	4
1A	map00121	Secondary bile acid biosynthesis	6	2	15	13.33	2	3
1A	map05323	Rheumatoid arthritis	6	3	67	4.48	3	3
1A	map00062	Fatty acid elongation	6	1	25	4	1	3
1A	map04341	Hedgehog signaling pathway - fly	6	1	26	3.85	1	3
1A	map04710	Circadian rhythm	6	1	28	3.57	1	3
1A	map03272	Virion - Hepatitis viruses	6	1	40	2.5	1	3
1A	map04974	Protein digestion and absorption	6	1	66	1.52	1	3
1A	map03082	ATP-dependent chromatin remodeling	6	1	84	1.19	1	3
1A	map04660	T cell receptor signaling pathway	6	1	92	1.09	1	3
1A	map04261	Adrenergic signaling in cardiomyocytes	6	1	99	1.01	1	3
3A	map04712	Circadian rhythm - plant	6	3	28	10.71	3	3
3A	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	6	3	35	8.57	3	3
3A	map03272	Virion - Hepatitis viruses	6	2	40	5	2	3
3A	map04973	Carbohydrate digestion and absorption	6	1	22	4.55	1	3
3A	map04064	NF-kappa B signaling pathway	6	3	98	3.06	3	3
3A	map04310	Wnt signaling pathway	6	3	130	2.31	3	3
3A	map04923	Regulation of lipolysis in adipocytes	6	1	47	2.13	1	3
3A	map04144	Endocytosis	6	3	169	1.78	3	3
3A	map04970	Salivary secretion	6	1	64	1.56	1	3
3A	map04140	Autophagy - animal	6	2	131	1.53	2	3
5A	map03460	Fanconi anemia pathway	6	3	54	5.56	3	3
5A	map01055	Biosynthesis of vancomycin group antibiotics	6	1	29	3.45	1	3
5A	map01521	EGFR tyrosine kinase inhibitor resistance	6	2	67	2.99	2	3
5A	map00542	O-Antigen repeat unit biosynthesis	6	1	35	2.86	1	3
5A	map04150	mTOR signaling pathway	6	2	117	1.71	2	3
13A	map00232	Caffeine metabolism	6	2	16	12.5	2	3
13A	map00981	Insect hormone biosynthesis	6	1	18	5.56	1	3
13A	map05150	Staphylococcus aureus infection	6	2	74	2.7	2	3
13A	map04923	Regulation of lipolysis in adipocytes	6	1	47	2.13	1	3
13A	map05202	Transcriptional misregulation in cancer	6	3	161	1.86	3	3
13A	map05231	Choline metabolism in cancer	6	1	61	1.64	1	3
13A	map05212	Pancreatic cancer	6	1	63	1.59	1	3
13A	map04912	GnRH signaling pathway	6	1	64	1.56	1	3
13A	map04020	Calcium signaling pathway	6	3	198	1.52	3	3
14A	map00232	Caffeine metabolism	6	2	16	12.5	2	3
14A	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	6	3	35	8.57	3	3
14A	map04664	Fc epsilon RI signaling pathway	6	2	47	4.26	2	3
14A	map04923	Regulation of lipolysis in adipocytes	6	2	47	4.26	2	3
14A	map04662	B cell receptor signaling pathway	6	2	60	3.33	2	3
14A	map04350	TGF-beta signaling pathway	6	3	98	3.06	3	3
14A	map04650	Natural killer cell mediated cytotoxicity	6	2	84	2.38	2	3
14A	map04310	Wnt signaling pathway	6	3	130	2.31	3	3
14A	map04064	NF-kappa B signaling pathway	6	2	98	2.04	2	3
14A	map04974	Protein digestion and absorption	6	1	66	1.52	1	3
14A	map04519	Cadherin signaling	6	3	210	1.43	3	3
42A	map00791	Atrazine degradation	6	3	20	15	3	3
42A	map04666	Fc gamma R-mediated phagocytosis	6	3	64	4.69	3	3
42A	map04341	Hedgehog signaling pathway - fly	6	1	26	3.85	1	3
42A	map04710	Circadian rhythm	6	1	28	3.57	1	3
